Fitur Ekstraksi,Akurasi,Presisi,Recall,F1-Score
Ritme + F0,0.38,0.38612869092323476,0.38,0.38193107949030275
Frekuensi (MFCC) + F0,0.435,0.4325645396419522,0.43499999999999994,0.4333224599223908
